PubSEED Abreviation	VMH Abbreviation	VMH Description	VMH Formula
UidB	3OH_CBZ_GLCt2	Glucuronate transport in via proton symport 3-Hydroxy Carbamazepine Glucuronide	3oh_cbz_glc[e] + h[e] -> 3oh_cbz_glc[c] + h[c]
UidB	3OH_DLOR_GLCt2	Glucuronate transport in via proton symport 3-Hydroxydesloratadine Glucuronide	3oh_dlor_glc[e] + h[e] -> 3oh_dlor_glc[c] + h[c]
UidB	3OH_MDEA_GLCt2	Glucuronate transport in via proton symport 3-Hydroxy N-Desethylamiodarone Glucuronide (3-Hydroxy_MDEA_Glc) (M15)	3oh_mdea_glc[e] + h[e] -> 3oh_mdea_glc[c] + h[c]
UidB	3OH_MXN_GLCt2	Glucuronate transport in via proton symport 3-Hydroxymorphinan O-Glucuronide	3oh_mxn_glc[e] + h[e] -> 3oh_mxn_glc[c] + h[c]
UidB	4DH_TPNO_1GLCt2	Glucuronate transport in via proton symport 4-Dehydroxytempol 1-O-Glucuronide	4dh_tpno_1glc[e] + h[e] -> 4dh_tpno_1glc[c] + h[c]
UidB	4HMDGLUCt2	Glucuronate transport in via proton symport 4-OH-midazolam-glucuronide	4hmdgluc[e] + h[e] -> 4hmdgluc[c] + h[c]
UidB	4OH_DCF_GLCt2	Glucuronate transport in via proton symport 4-Hydroxydiclofenac Glucuronide	4oh_dcf_glc[e] + h[e] -> 4oh_dcf_glc[c] + h[c]
UidB	4OH_KP_GLCt2	Glucuronate transport in via proton symport 4-Hydroxybenzyl Ketoprofen Glucuronide	4oh_kp_glc[e] + h[e] -> 4oh_kp_glc[c] + h[c]
UidB	4OH_LEVOLE_GLCt2	Glucuronate transport in via proton symport 4-Hydroxy Levamisole Glucuronide	4oh_levole_glc[e] + h[e] -> 4oh_levole_glc[c] + h[c]
UidB	4OH_METH_GLCt2	Glucuronate transport in via proton symport 4-Hydroxymethamphetamine Glucuronide	4oh_meth_glc[e] + h[e] -> 4oh_meth_glc[c] + h[c]
UidB	4OH_PROPL_GLCt2	Glucuronate transport in via proton symport 4-Hydroxypropranolol Glucuronide	4oh_propl_glc[e] + h[e] -> 4oh_propl_glc[c] + h[c]
UidB	4OH_TRZ_GLCt2	Glucuronate transport in via proton symport 4-Hydroxy Triazolam Glucuronide	4oh_trz_glc[e] + h[e] -> 4oh_trz_glc[c] + h[c]
UidB	4OH_VCZ_GLCt2	Glucuronate transport in via proton symport 4-Hydroxyvoriconazole Glucuronide	4oh_vcz_glc[e] + h[e] -> 4oh_vcz_glc[c] + h[c]
UidB	5OH_SULFP_GLCt2	Glucuronate transport in via proton symport 5-Hydroxy-Sulfapyridine-O-Glucuronide	5oh_sulfp_glc[e] + h[e] -> 5oh_sulfp_glc[c] + h[c]
UidB	5OHFVSGLUt2	Glucuronate transport in via proton symport 5-hydroxy-fluvastatin-glucuronide	5ohfvsglu[e] + h[e] -> 5ohfvsglu[c] + h[c]
UidB	6BHGLZGLCt2	Glucuronate transport in via proton symport 6-beta-OH-gliclazide-glucuronide	6bhglzglc[e] + h[e] -> 6bhglzglc[c] + h[c]
UidB	6OHFVSGLUt2	Glucuronate transport in via proton symport 6-hydroxy-fluvastatin-glucuronide	6ohfvsglu[e] + h[e] -> 6ohfvsglu[c] + h[c]
UidB	7BHGLZGLCt2	Glucuronate transport in via proton symport (in),7-beta-OH-gliclazide-glucuronide	7bhglzglc[e] + h[e] -> 7bhglzglc[c] + h[c]
UidB	7OH_EFV_GLCt2	Glucuronate transport in via proton symport 7-hydroxy-Efavirenz Glucuronide	7oh_efv_glc[e] + h[e] -> 7oh_efv_glc[c] + h[c]
UidB	814DIOH_EFV_GLCt2	Glucuronate transport in via proton symport 8 14-Dihydroxyefavirenz Glucuronide	814dioh_efv_glc[e] + h[e] -> 814dioh_efv_glc[c] + h[c]
UidB	8OH_EFV_GLCt2	Glucuronate transport in via proton symport 8-hydroxy-Efavirenz Glucuronide	8oh_efv_glc[e] + h[e] -> 8oh_efv_glc[c] + h[c]
UidB	AC_AMN_B_GLY_GLCt2	Glucuronate transport in via proton symport Acetyl 4-Aminobenzoylglycine Glucuronide	ac_amn_b_gly_glc[e] + h[e] -> ac_amn_b_gly_glc[c] + h[c]
UidB	ACMP_GLCt2	Glucuronate transport in via proton symport Acetaminophen Glucuronide	acmp_glc[e] + h[e] -> acmp_glc[c] + h[c]
UidB	ACMPGLUt2	Glucuronate transport in via proton symport Acetaminophen glucuronide	acmpglu[e] + h[e] -> acmpglu[c] + h[c]
UidB	ALPZ_4OH_GLCt2	Glucuronate transport in via proton symport 4-Hydroxyalprazolam Glucuronide	alpz_4oh_glc[e] + h[e] -> alpz_4oh_glc[c] + h[c]
UidB	ALPZ_AOH_GLCt2	Glucuronate transport in via proton symport Alpha-Hydroxyalprazolam Glucuronide	alpz_aoh_glc[e] + h[e] -> alpz_aoh_glc[c] + h[c]
UidB	AM14_GLCt2	Glucuronate transport in via proton symport Desmethylalfentanil Glucuronide (AM14 Glucuronide)	am14_glc[e] + h[e] -> am14_glc[c] + h[c]
UidB	AM1CGLCt2	Glucuronate transport in via proton symport AM1c-glucuronide (cyclosporine)	am1cglc[e] + h[e] -> am1cglc[c] + h[c]
UidB	AM5_GLCt2	Glucuronate transport in via proton symport N-(4-Hydroxyphenyl)Propanamide Glucuronide (AM5 Glucuronide)	am5_glc[e] + h[e] -> am5_glc[c] + h[c]
UidB	AM6_GLCt2	Glucuronate transport in via proton symport Desmethylnoralfentanil Glucuronide (AM6 Glucuronide)	am6_glc[e] + h[e] -> am6_glc[c] + h[c]
UidB	AMIO_C_GLCt2	Glucuronate transport in via proton symport Carboxylamiodarone Glucuronide (M19)	amio_c_glc[e] + h[e] -> amio_c_glc[c] + h[c]
UidB	AMIO_GLCt2	Glucuronate transport in via proton symport Amiodarone Glucuronide (M16)	amio_glc[e] + h[e] -> amio_glc[c] + h[c]
UidB	AMN_B_GLY_GLCt2	Glucuronate transport in via proton symport 4-Aminobenzoylglycine Glucuronide	amn_b_gly_glc[e] + h[e] -> amn_b_gly_glc[c] + h[c]
UidB	AMNTD_M6_GLCt2	Glucuronate transport in via proton symport Amantadine M6 Glucuronide	amntd_m6_glc[e] + h[e] -> amntd_m6_glc[c] + h[c]
UidB	ATVACYLGLUCt2	Glucuronate transport in via proton symport atorvastatin-acyl-glucuronide / G2	atvacylgluc[e] + h[e] -> atvacylgluc[c] + h[c]
UidB	ATVETHGLUCt2	Glucuronate transport in via proton symport atorvastatin-ether-glucuronide -G1	atvethgluc[e] + h[e] -> atvethgluc[c] + h[c]
UidB	ATVLACGLUCt2	Glucuronate transport in via proton symport atorvastatin-lactone-ether-glucuronide / G3	atvlacgluc[e] + h[e] -> atvlacgluc[c] + h[c]
UidB	BHPM_GLCt2	Glucuronate transport in via proton symport Bis-(P-Hydroxy-Phenyl)-Pyridyl-2-Methane Glucuronide	bhpm_glc[e] + h[e] -> bhpm_glc[c] + h[c]
UidB	BILR_M10t2	Glucuronate transport in via proton symport BILR M10	bilr_M10[e] + h[e] -> bilr_M10[c] + h[c]
UidB	BILR_M12t2	Glucuronate transport in via proton symport BILR M12	bilr_M12[e] + h[e] -> bilr_M12[c] + h[c]
UidB	BILR_M15t2	Glucuronate transport in via proton symport BILR M15	bilr_M15[e] + h[e] -> bilr_M15[c] + h[c]
UidB	BILR_M16t2	Glucuronate transport in via proton symport BILR M16	bilr_M16[e] + h[e] -> bilr_M16[c] + h[c]
UidB	BSN_GLCt2	Glucuronate transport in via proton symport Bosentan Glucuronide	bsn_glc[e] + h[e] -> bsn_glc[c] + h[c]
UidB	BZ_GLCt2	Glucuronate transport in via proton symport Benzoic Acid Glucuronide	bz_glc[e] + h[e] -> bz_glc[c] + h[c]
UidB	CARIBUPGLU_St2	Glucuronate transport in via proton symport (in),S-carboxy ibuprofen glucuronide	caribupglu_S[e] + h[e] -> caribupglu_S[c] + h[c]
UidB	CBZ_GLCt2	Glucuronate transport in via proton symport Carbamazepine Glucuronide	cbz_glc[e] + h[e] -> cbz_glc[c] + h[c]
UidB	CD6168_GLCt2	Glucuronate transport in via proton symport CD6168 Glucuronide	cd6168_glc[e] + h[e] -> cd6168_glc[c] + h[c]
UidB	CHLPHNCL_GLCt2	Glucuronate transport in via proton symport Chloramphenicol 3-Glucuronide	chlphncl_glc[e] + h[e] -> chlphncl_glc[c] + h[c]
UidB	CLCXB_C_GLCt2	Glucuronate transport in via proton symport Carboxycelecoxib Glucuronide	clcxb_c_glc[e] + h[e] -> clcxb_c_glc[c] + h[c]
UidB	CLCXB_GLCt2	Glucuronate transport in via proton symport Celecoxib Glucuronide	clcxb_glc[e] + h[e] -> clcxb_glc[c] + h[c]
UidB	CLOBI_GLCt2	Glucuronate transport in via proton symport Clopidogrel Acyl-Beta-D-Glucuronide	clobi_glc[e] + h[e] -> clobi_glc[c] + h[c]
UidB	CVM1GLUCt2	Glucuronate transport in via proton symport cerivastatin-M1-glucuronide	cvm1gluc[e] + h[e] -> cvm1gluc[c] + h[c]
UidB	CVM23GLUCt2	Glucuronate transport in via proton symport cerivastatin-M23-glucuronide	cvm23gluc[e] + h[e] -> cvm23gluc[c] + h[c]
UidB	DAA_GLCt2	Glucuronate transport in via proton symport Deaminated Amiodarone Glucuronide (M14)	daa_glc[e] + h[e] -> daa_glc[c] + h[c]
UidB	DCF_GLCt2	Glucuronate transport in via proton symport Diclofenac Acyl Glucuronide	dcf_glc[e] + h[e] -> dcf_glc[c] + h[c]
UidB	DDEA_GLCt2	Glucuronate transport in via proton symport Di-N-Desethylamiodarone Glucuronide Conjugate (DDEA_Glc)	ddea_glc[e] + h[e] -> ddea_glc[c] + h[c]
UidB	DES_ASTZL_GLCt2	Glucuronate transport in via proton symport Desmethylastemozole Glucuronide	des_astzl_glc[e] + h[e] -> des_astzl_glc[c] + h[c]
UidB	DIGOXIN_GLCt2	Glucuronate transport in via proton symport Digoxin 16-Glucuronide	digoxin_glc[e] + h[e] -> digoxin_glc[c] + h[c]
UidB	DLB_GLCt2	Glucuronate transport in via proton symport Deleobuvir Glucuronide	dlb_glc[e] + h[e] -> dlb_glc[c] + h[c]
UidB	DNPZ_M11t2	Glucuronate transport in via proton symport Donepezil Metabolite M11	dnpz_m11[e] + h[e] -> dnpz_m11[c] + h[c]
UidB	DNPZ_M12t2	Glucuronate transport in via proton symport Donepezil Metabolite M12	dnpz_m12[e] + h[e] -> dnpz_m12[c] + h[c]
UidB	DNPZ_M13t2	Glucuronate transport in via proton symport Donepezil Metabolite M13	dnpz_m13[e] + h[e] -> dnpz_m13[c] + h[c]
UidB	DNPZ_M14t2	Glucuronate transport in via proton symport Donepezil Metabolite M14	dnpz_m14[e] + h[e] -> dnpz_m14[c] + h[c]
UidB	DOH_ETR_GLCt2	Glucuronate transport in via proton symport Etravarine Dihydroxylated Glucuronide	doh_etr_glc[e] + h[e] -> doh_etr_glc[c] + h[c]
UidB	DOH_VCZ_GLCt2	Glucuronate transport in via proton symport Dihydroxyvoriconazole Glucuronide	doh_vcz_glc[e] + h[e] -> doh_vcz_glc[c] + h[c]
UidB	DXO_GLCt2	Glucuronate transport in via proton symport Dextrorphan O-Glucuronide	dxo_glc[e] + h[e] -> dxo_glc[c] + h[c]
UidB	EFV_GLCt2	Glucuronate transport in via proton symport Efavirenz Glucuronide	efv_glc[e] + h[e] -> efv_glc[c] + h[c]
UidB	ELTR_GLCt2	Glucuronate transport in via proton symport Eltrombopag Glucuronide (M2)	eltr_glc[e] + h[e] -> eltr_glc[c] + h[c]
UidB	ELTR_M3t2	Glucuronate transport in via proton symport Eltrombopag M3 (Glucuronide Conjugate)	eltr_m3[e] + h[e] -> eltr_m3[c] + h[c]
UidB	ELTR_M4t2	Glucuronate transport in via proton symport Eltrombopag M4 (Glucuronide Conjugate)	eltr_m4[e] + h[e] -> eltr_m4[c] + h[c]
UidB	EZTMB_GLCt2	Glucuronate transport in via proton symport Ezetimibe Glucuronide	eztmb_glc[e] + h[e] -> eztmb_glc[c] + h[c]
UidB	FVSGLUCt2	Glucuronate transport in via proton symport fluvstatin-glucuronide	fvsgluc[e] + h[e] -> fvsgluc[c] + h[c]
UidB	FVSTETGLUt2	Glucuronate transport in via proton symport des-isopropyl-dihydro-fluvastatin-tetranor-glucuronide	fvstetglu[e] + h[e] -> fvstetglu[c] + h[c]
UidB	GLC3MEACPt2	Glucuronate transport in via proton symport glucuronide-conjugate of 3-methoxy-acetaminophen	glc3meacp[e] + h[e] -> glc3meacp[c] + h[c]
UidB	GLTMN_GLCt2	Glucuronate transport in via proton symport Galantamine Glucuronide	gltmn_glc[e] + h[e] -> gltmn_glc[c] + h[c]
UidB	GMFL_GLCt2	Glucuronate transport in via proton symport Gemfibrozil 1-O-Beta-Glucuronide	gmfl_glc[e] + h[e] -> gmfl_glc[c] + h[c]
UidB	GMFL_MI_GLCt2	Glucuronate transport in via proton symport M1 Glucuronide	gmfl_mI_glc[e] + h[e] -> gmfl_mI_glc[c] + h[c]
UidB	GMFL_MII_GLCt2	Glucuronate transport in via proton symport M2 Glucuronide	gmfl_mII_glc[e] + h[e] -> gmfl_mII_glc[c] + h[c]
UidB	GMFL_MIII_GLCt2	Glucuronate transport in via proton symport M3 Glucuronide	gmfl_mIII_glc[e] + h[e] -> gmfl_mIII_glc[c] + h[c]
UidB	GTACMPt2	Glucuronate transport in via proton symport glucuronide-thiomethyl-acetaminophen conjugate	gtacmp[e] + h[e] -> gtacmp[c] + h[c]
UidB	HST_3_GLCt2	Glucuronate transport in via proton symport Hesperetin 3-O-Glucuronide (Aglycone Of Hesperidin)	hst_3_glc[e] + h[e] -> hst_3_glc[c] + h[c]
UidB	HST_37_DIGLCt2	Glucuronate transport in via proton symport Hesperetin 3 7-Diglucuronide	hst_37_diglc[e] + h[e] -> hst_37_diglc[c] + h[c]
UidB	HST_3GLC_7St2	Glucuronate transport in via proton symport Hesperetin 3-O-Glucuronide 7-Sulfate	hst_3glc_7s[e] + h[e] -> hst_3glc_7s[c] + h[c]
UidB	HST_7_GLCt2	Glucuronate transport in via proton symport Hesperetin 7-O-Glucuronide (Aglycone Of Hesperidin)	hst_7_glc[e] + h[e] -> hst_7_glc[c] + h[c]
UidB	HST_7GLC_3St2	Glucuronate transport in via proton symport Hesperetin 7-O-Glucuronide 3-Sulfate	hst_7glc_3s[e] + h[e] -> hst_7glc_3s[c] + h[c]
UidB	IBUPGLUCt2	Glucuronate transport in via proton symport ibuprofen acyl glucuronide	ibupgluc[e] + h[e] -> ibupgluc[c] + h[c]
UidB	IMN_GLCt2	Glucuronate transport in via proton symport Indomethacin Glucuronide	imn_glc[e] + h[e] -> imn_glc[c] + h[c]
UidB	INV_M1t2	Glucuronate transport in via proton symport Indanyl Glucuronide M1	inv_m1[e] + h[e] -> inv_m1[c] + h[c]
UidB	ISOSORBIDE_5MN_GLCt2	Glucuronate transport in via proton symport Isosorbide 5-Mononitrate 2-Beta-D-Glucuronide	isosorbide_5mn_glc[e] + h[e] -> isosorbide_5mn_glc[c] + h[c]
UidB	KPROFEN_GLCt2	Glucuronate transport in via proton symport Ketoprofen Glucuronide	kprofen_glc[e] + h[e] -> kprofen_glc[c] + h[c]
UidB	LSTN1GLUCt2	Glucuronate transport in via proton symport Losartan-N1-glucuronide	lstn1gluc[e] + h[e] -> lstn1gluc[c] + h[c]
UidB	LSTNM4t2	Glucuronate transport in via proton symport Losartan-M4 (glucuronide derivative)	lstnm4[e] + h[e] -> lstnm4[c] + h[c]
UidB	LSTNM7t2	Glucuronate transport in via proton symport Losartan-N2-glucuronide / Losartan-M7	lstnm7[e] + h[e] -> lstnm7[c] + h[c]
UidB	MDZ_GLCt2	Glucuronate transport in via proton symport Midazolam Glucuronide	mdz_glc[e] + h[e] -> mdz_glc[c] + h[c]
UidB	MDZGLCt2	Glucuronate transport in via proton symport Midazolam-glucuronide	mdzglc[e] + h[e] -> mdzglc[c] + h[c]
UidB	MISO_GLCt2	Glucuronate transport in via proton symport Misonidazole Glucuronide	miso_glc[e] + h[e] -> miso_glc[c] + h[c]
UidB	MRPHN_3GLCt2	Glucuronate transport in via proton symport Morphine 3-Glucuronide	mrphn_3glc[e] + h[e] -> mrphn_3glc[c] + h[c]
UidB	MRPHN_6GLCt2	Glucuronate transport in via proton symport Morphine 6-Glucuronide	mrphn_6glc[e] + h[e] -> mrphn_6glc[c] + h[c]
UidB	MTZ_GLCt2	Glucuronate transport in via proton symport Metronidazole Beta-D-Glucuronide	mtz_glc[e] + h[e] -> mtz_glc[c] + h[c]
UidB	N_OH_PHTN_GLCt2	Glucuronate transport in via proton symport N-Hydroxylated Phenacetin Glucuronide	N_oh_phtn_glc[e] + h[e] -> N_oh_phtn_glc[c] + h[c]
UidB	NSLDP_M5_GLCt2	Glucuronate transport in via proton symport Nisoldipine (M5) Glucuronide	nsldp_m5_glc[e] + h[e] -> nsldp_m5_glc[c] + h[c]
UidB	NVERP_GLCt2	Glucuronate transport in via proton symport Norverapamil Glucuronide	nverp_glc[e] + h[e] -> nverp_glc[c] + h[c]
UidB	ODSM_EGLTMN_GLCt2	Glucuronate transport in via proton symport O-Desmethylepigalantamine Glucuronide	odsm_egltmn_glc[e] + h[e] -> odsm_egltmn_glc[c] + h[c]
UidB	ODSM_GLTMN_GLCt2	Glucuronate transport in via proton symport O-Desmethylgalantamine Glucuronide	odsm_gltmn_glc[e] + h[e] -> odsm_gltmn_glc[c] + h[c]
UidB	OH_ETR_GLCt2	Glucuronate transport in via proton symport Etravarine Monohydroxylated Glucuronide (M7)	oh_etr_glc[e] + h[e] -> oh_etr_glc[c] + h[c]
UidB	OH_PBL_GLCt2	Glucuronate transport in via proton symport Phenobarbital O-Glucuronide	oh_pbl_glc[e] + h[e] -> oh_pbl_glc[c] + h[c]
UidB	PHPPA_GLCt2	Glucuronate transport in via proton symport 3-(3-Hydroxyphenyl)Propionate Glucuronide	phppa_glc[e] + h[e] -> phppa_glc[c] + h[c]
UidB	PHTN_GLCt2	Glucuronate transport in via proton symport Phenacetin Glucuronide	phtn_glc[e] + h[e] -> phtn_glc[c] + h[c]
UidB	PROB_GLCt2	Glucuronate transport in via proton symport Probenecid Acyl Beta-D-Glucuronide	prob_glc[e] + h[e] -> prob_glc[c] + h[c]
UidB	PRONT_GLCt2	Glucuronate transport in via proton symport Prontosil Glucuronide	pront_glc[e] + h[e] -> pront_glc[c] + h[c]
UidB	PROPL_GLCt2	Glucuronate transport in via proton symport Propranolol Glucuronide	propl_glc[e] + h[e] -> propl_glc[c] + h[c]
UidB	PRX_MI_GLCt2	Glucuronate transport in via proton symport Paroxetine Mi Glucuronide	prx_mI_glc[e] + h[e] -> prx_mI_glc[c] + h[c]
UidB	PRX_MII_GLCt2	Glucuronate transport in via proton symport Paroxetine Mii Glucuronide	prx_mII_glc[e] + h[e] -> prx_mII_glc[c] + h[c]
UidB	PTVSTGLUCt2	Glucuronate transport in via proton symport pitavastatin-glucuronide	ptvstgluc[e] + h[e] -> ptvstgluc[c] + h[c]
UidB	PVSGLUCt2	Glucuronate transport in via proton symport pravastatin glucuronide	pvsgluc[e] + h[e] -> pvsgluc[c] + h[c]
UidB	R_6OH_WARF_GLCt2	Glucuronate transport in via proton symport R-6-Hydroxywarfarin Glucuronate	R_6oh_warf_glc[e] + h[e] -> R_6oh_warf_glc[c] + h[c]
UidB	R_7OH_WARF_GLCt2	Glucuronate transport in via proton symport R-7-Hydroxy Warfarin Glucuronate	R_7oh_warf_glc[e] + h[e] -> R_7oh_warf_glc[c] + h[c]
UidB	R_8OH_WARF_GLCt2	Glucuronate transport in via proton symport R-8-Hydroxywarfarin Glucuronate	R_8oh_warf_glc[e] + h[e] -> R_8oh_warf_glc[c] + h[c]
UidB	R406_GLCt2	Glucuronate transport in via proton symport Lactam N-Glucuronide Of R406	r406_glc[e] + h[e] -> r406_glc[c] + h[c]
UidB	R529_GLCt2	Glucuronate transport in via proton symport Glucuronide R529	r529_glc[e] + h[e] -> r529_glc[c] + h[c]
UidB	REP_GLCt2	Glucuronate transport in via proton symport Repaglinide Acyl-Beta-D-Glucuronide	rep_glc[e] + h[e] -> rep_glc[c] + h[c]
UidB	RPN_104557_CB_GLCt2	Glucuronate transport in via proton symport SKF 104557 Carbamyl Glucuronide	rpn_104557_cb_glc[e] + h[e] -> rpn_104557_cb_glc[c] + h[c]
UidB	RPN_96990_GLCt2	Glucuronate transport in via proton symport SKF 96990 Glucuronide	rpn_96990_glc[e] + h[e] -> rpn_96990_glc[c] + h[c]
UidB	RPN_OH_GLCt2	Glucuronate transport in via proton symport SKF 89124 Glucuronide	rpn_oh_glc[e] + h[e] -> rpn_oh_glc[c] + h[c]
UidB	RSVGLUCt2	Glucuronate transport in via proton symport rosuvastatin-glucuronide	rsvgluc[e] + h[e] -> rsvgluc[c] + h[c]
UidB	S_4OH_WARF_GLCt2	Glucuronate transport in via proton symport S-4-Hydroxywarfarin Glucuronate	S_4oh_warf_glc[e] + h[e] -> S_4oh_warf_glc[c] + h[c]
UidB	S_6OH_WARF_GLCt2	Glucuronate transport in via proton symport S-6-Hydroxywarfarin Glucuronate	S_6oh_warf_glc[e] + h[e] -> S_6oh_warf_glc[c] + h[c]
UidB	SCH_488128t2	Glucuronate transport in via proton symport SCH 488128	sch_488128[e] + h[e] -> sch_488128[c] + h[c]
UidB	SCH_57871_GLCt2	Glucuronate transport in via proton symport SCH 57871 Glucuronide	sch_57871_glc[e] + h[e] -> sch_57871_glc[c] + h[c]
UidB	SFND_1689_GLCt2	Glucuronate transport in via proton symport Nw 1689 Acyl Glucuronide	sfnd_1689_glc[e] + h[e] -> sfnd_1689_glc[c] + h[c]
UidB	SFTZ_GLCt2	Glucuronate transport in via proton symport Sulfathiazole Glucuronide	sftz_glc[e] + h[e] -> sftz_glc[c] + h[c]
UidB	SIMVGLUCt2	Glucuronate transport in via proton symport simvastatin-acyl-glucuronide	simvgluc[e] + h[e] -> simvgluc[c] + h[c]
UidB	SMAP_GLCt2	Glucuronate transport in via proton symport 2-Sulfamoylacetylphenol Glucuronide	smap_glc[e] + h[e] -> smap_glc[c] + h[c]
UidB	SN38Gt2	Glucuronate transport in via proton symport SN38 glucuronide	sn38g[e] + h[e] -> sn38g[c] + h[c]
UidB	SPZ_GLCt2	Glucuronate transport in via proton symport Sulfinpyrazone Glucuronide	spz_glc[e] + h[e] -> spz_glc[c] + h[c]
UidB	SPZ_SFN_GLCt2	Glucuronate transport in via proton symport Sulfinpyrazone Sulfone Glucuronide	spz_sfn_glc[e] + h[e] -> spz_sfn_glc[c] + h[c]
UidB	STG_M3t2	Glucuronate transport in via proton symport Sitagliptin M3 (Ether Glucuronide Conjugate Of A Hydroxylated Derivative)	stg_m3[e] + h[e] -> stg_m3[c] + h[c]
UidB	STG_M4t2	Glucuronate transport in via proton symport Sitagliptin M4 (N-Carbomyl Glucuronide Conjugate)	stg_m4[e] + h[e] -> stg_m4[c] + h[c]
UidB	TATt2	Glucuronate transport in via proton symport N-(2-Methyl-3-Chlorophenyl)-Anthranilic Acid	tat[e] + h[e] -> tat[c] + h[c]
UidB	TGZ_GLCt2	Glucuronate transport in via proton symport Troglitazone Glucuronide	tgz_glc[e] + h[e] -> tgz_glc[c] + h[c]
UidB	TLF_A_M1t2	Glucuronate transport in via proton symport N-(2-Hydroxymethyl-3-Chlorophenyl)-Anthranilic Acid	tlf_a_m1[e] + h[e] -> tlf_a_m1[c] + h[c]
UidB	TLF_A_M2t2	Glucuronate transport in via proton symport N-(2-Hydroxymethyl-3-Chloro-4-Hydroxyphenyl)-Anthranilic Acid	tlf_a_m2[e] + h[e] -> tlf_a_m2[c] + h[c]
UidB	TLF_A_M3t2	Glucuronate transport in via proton symport N-(2-Formyl-3-Chlorophenyl) Anthranilic Acid	tlf_a_m3[e] + h[e] -> tlf_a_m3[c] + h[c]
UidB	TLF_A_M4At2	Glucuronate transport in via proton symport Tolfenamic Acid M4A	tlf_a_m4a[e] + h[e] -> tlf_a_m4a[c] + h[c]
UidB	TLF_A_M4t2	Glucuronate transport in via proton symport N-(2-Methyl-3- Chloro-4-Hydroxyphenyl)-Anthranilic Acid	tlf_a_m4[e] + h[e] -> tlf_a_m4[c] + h[c]
UidB	TLF_A_M5At2	Glucuronate transport in via proton symport Tolfenamic Acid M5A	tlf_a_m5a[e] + h[e] -> tlf_a_m5a[c] + h[c]
UidB	TLF_A_M5Bt2	Glucuronate transport in via proton symport Tolfenamic Acid M5B	tlf_a_m5b[e] + h[e] -> tlf_a_m5b[c] + h[c]
UidB	TLF_A_M5t2	Glucuronate transport in via proton symport N-(2-Methyl-3-Chloro-5-Hydroxyphenyl)-Anthranilic Acid	tlf_a_m5[e] + h[e] -> tlf_a_m5[c] + h[c]
UidB	TLF_A_M6t2	Glucuronate transport in via proton symport N-(2-Carboxy-3-Chlorophenyl)-Anthranilic Acid	tlf_a_m6[e] + h[e] -> tlf_a_m6[c] + h[c]
UidB	TLF_A_M9t2	Glucuronate transport in via proton symport N-(2-Methyl-3-Chloro-4-Metoxyphenyl)-Anthranilic Acid	tlf_a_m9[e] + h[e] -> tlf_a_m9[c] + h[c]
UidB	TLMS_GLCt2	Glucuronate transport in via proton symport Telmisartan Glucuronide	tlms_glc[e] + h[e] -> tlms_glc[c] + h[c]
UidB	TOLCP_AC_GLCt2	Glucuronate transport in via proton symport Tolcapone N-Acetyl Amino Glucuronide	tolcp_ac_glc[e] + h[e] -> tolcp_ac_glc[c] + h[c]
UidB	TOLCP_AM_GLCt2	Glucuronate transport in via proton symport Tolcapone Amine Glucuronide	tolcp_am_glc[e] + h[e] -> tolcp_am_glc[c] + h[c]
UidB	TOLCP_GLCt2	Glucuronate transport in via proton symport Tolcapone 3-Beta-D-Glucuronide	tolcp_glc[e] + h[e] -> tolcp_glc[c] + h[c]
UidB	TPNO_1GLC_4Gt2	Glucuronate transport in via proton symport Tempol 1-O-Glucuronide And 4-O-Glucoside	tpno_1glc_4g[e] + h[e] -> tpno_1glc_4g[c] + h[c]
UidB	TPNO_4GLCt2	Glucuronate transport in via proton symport Tempol 4-O-Glucuronide	tpno_4glc[e] + h[e] -> tpno_4glc[c] + h[c]
UidB	TSACMGLUCt2	Glucuronate transport in via proton symport thiomethyl-sulphoxide-acetaminophen-glucuronide	tsacmgluc[e] + h[e] -> tsacmgluc[c] + h[c]
UidB	ESTRONEGLCt2	Glucuronate transport in via proton symport Estrone-3-glucuronide	estroneglc[e] + h[e] -> estroneglc[c] + h[c]
UidB	ESTRADIOLGLCt2i	Glucuronate transport in via proton symport estradiol-17-glucuronide	estradiolglc[e] + h[e] -> estradiolglc[c] + h[c]
UidB	ESTRIOLGLCt2	Glucuronate transport in via proton symport estriol-16-glucuronide	estriolglc[e] + h[e] -> estriolglc[c] + h[c]
UidB	REGFNB_GLCt2	Glucuronate transport in via proton symport regorafenib-glucuronide	regfnb_glc[e] + h[e] -> regfnb_glc[c] + h[c]
UidP	1HIBUPGLU_St	Transport of D-Glucuronate (in),1-hydroxy S-ibuprofen-glucuronide	1hibupglu_S[e] -> 1hibupglu_S[c]
UidP	1HMDGLUCt	Transport of D-Glucuronate 1-OH-midazolam-glucuronide	1hmdgluc[e] -> 1hmdgluc[c]
UidP	2HATVACIDGLUCt	Transport of D-Glucuronate 2-hydroxy-atorvastatin-acyl-glucuronide	2hatvacidgluc[e] -> 2hatvacidgluc[c]
UidP	2HATVLACGLUCt	Transport of D-Glucuronate 2-hydroxy-atorvastatin-lactone-glucuronide	2hatvlacgluc[e] -> 2hatvlacgluc[c]
UidP	2HIBUPGLU_St	Transport of D-Glucuronate (in),2-hydroxy S-ibuprofen-glucuronide	2hibupglu_S[e] -> 2hibupglu_S[c]
